stop_pct,target_pct,rsi_low,pullback_touch,max_hold,train_trades,train_winrate,train_expect,test_trades,test_winrate,test_expect,test_payoff,train_score,test_score
0.05,0.1,35,0.03,15,289,30.4,-0.73,371,31.8,-0.44,1.87,-0.12333344296092076,-0.08491649529718813
0.05,0.1,35,0.03,20,289,29.4,-0.68,371,31.5,-0.44,1.9,-0.1153319403671565,-0.08426733290695569
0.05,0.1,40,0.015,10,253,33.2,-0.6,330,32.4,-0.4,1.84,-0.09496139364885756,-0.07200550848482933
0.05,0.1,40,0.015,15,252,31.3,-0.53,330,31.8,-0.4,1.89,-0.084432404587975,-0.07346622319767829
0.05,0.1,40,0.015,20,252,30.2,-0.51,330,31.8,-0.39,1.9,-0.08171143816565156,-0.07082883976814791
0.05,0.1,40,0.02,10,264,33.3,-0.63,345,32.2,-0.46,1.82,-0.10169402542678234,-0.08503169928717243
0.05,0.1,40,0.02,15,263,31.2,-0.6,345,31.6,-0.47,1.87,-0.09691236272454488,-0.08785134103861994
0.05,0.1,40,0.02,20,263,30.0,-0.55,345,31.3,-0.47,1.9,-0.08852466835092884,-0.08717816173115624
0.05,0.1,40,0.03,10,290,32.1,-0.77,371,31.8,-0.51,1.82,-0.1311264720398455,-0.09916339469023698
0.05,0.1,40,0.03,15,289,30.4,-0.73,371,31.8,-0.44,1.87,-0.12333344296092076,-0.08491649529718813
0.05,0.1,40,0.03,20,289,29.4,-0.68,371,31.5,-0.44,1.9,-0.1153319403671565,-0.08426733290695569
0.05,0.1,45,0.015,10,253,33.2,-0.6,330,32.4,-0.4,1.84,-0.09496139364885756,-0.07200550848482933
0.05,0.1,45,0.015,15,252,31.3,-0.53,330,31.8,-0.4,1.89,-0.084432404587975,-0.07346622319767829
0.05,0.1,45,0.015,20,252,30.2,-0.51,330,31.8,-0.39,1.9,-0.08171143816565156,-0.07082883976814791
0.05,0.1,45,0.02,10,264,33.3,-0.63,345,32.2,-0.46,1.82,-0.10169402542678234,-0.08503169928717243
0.05,0.1,45,0.02,15,263,31.2,-0.6,345,31.6,-0.47,1.87,-0.09691236272454488,-0.08785134103861994
0.05,0.1,45,0.02,20,263,30.0,-0.55,345,31.3,-0.47,1.9,-0.08852466835092884,-0.08717816173115624
0.05,0.1,45,0.03,10,290,32.1,-0.77,371,31.8,-0.51,1.82,-0.1311264720398455,-0.09916339469023698
0.05,0.1,45,0.03,15,289,30.4,-0.73,371,31.8,-0.44,1.87,-0.12333344296092076,-0.08491649529718813
0.05,0.1,45,0.03,20,289,29.4,-0.68,371,31.5,-0.44,1.9,-0.1153319403671565,-0.08426733290695569
0.05,0.15,35,0.015,10,253,28.9,-0.57,329,28.9,-0.26,2.28,-0.09118102714206756,-0.04703212529957891
0.05,0.15,35,0.015,15,252,26.6,-0.56,329,26.7,-0.12,2.65,-0.08940525117692606,-0.021122510322263574
0.05,0.15,35,0.015,20,251,23.5,-0.58,329,26.1,-0.07,2.77,-0.09216140884416846,-0.012049352498552168
0.05,0.15,35,0.02,10,264,29.2,-0.57,344,28.8,-0.32,2.25,-0.09320522022195742,-0.059381203781491844
0.05,0.15,35,0.02,15,263,26.6,-0.58,344,26.5,-0.22,2.62,-0.09379199607929128,-0.04013384898195687
0.05,0.15,35,0.02,20,262,23.7,-0.55,344,25.6,-0.18,2.77,-0.08949550577493477,-0.033169713107826654
0.05,0.15,35,0.03,10,290,27.9,-0.72,369,28.5,-0.4,2.23,-0.12178450858298934,-0.07737961763715914
0.05,0.15,35,0.03,15,289,26.0,-0.73,369,26.6,-0.22,2.6,-0.12424858222640248,-0.04288118191552235
0.05,0.15,35,0.03,20,288,23.3,-0.69,369,25.7,-0.15,2.76,-0.11748596074631137,-0.02951016182931912
0.05,0.15,40,0.015,10,253,28.9,-0.57,329,28.9,-0.26,2.28,-0.09118102714206756,-0.04703212529957891
0.05,0.15,40,0.015,15,252,26.6,-0.56,329,26.7,-0.12,2.65,-0.08940525117692606,-0.021122510322263574
0.05,0.15,40,0.015,20,251,23.5,-0.58,329,26.1,-0.07,2.77,-0.09216140884416846,-0.012049352498552168
0.05,0.15,40,0.02,10,264,29.2,-0.57,344,28.8,-0.32,2.25,-0.09320522022195742,-0.059381203781491844
0.05,0.15,40,0.02,15,263,26.6,-0.58,344,26.5,-0.22,2.62,-0.09379199607929128,-0.04013384898195687
0.05,0.15,40,0.02,20,262,23.7,-0.55,344,25.6,-0.18,2.77,-0.08949550577493477,-0.033169713107826654
0.05,0.15,40,0.03,10,290,27.9,-0.72,369,28.5,-0.4,2.23,-0.12178450858298934,-0.07737961763715914
0.05,0.15,40,0.03,15,289,26.0,-0.73,369,26.6,-0.22,2.6,-0.12424858222640248,-0.04288118191552235
0.05,0.15,40,0.03,20,288,23.3,-0.69,369,25.7,-0.15,2.76,-0.11748596074631137,-0.02951016182931912
0.05,0.15,45,0.015,10,253,28.9,-0.57,329,28.9,-0.26,2.28,-0.09118102714206756,-0.04703212529957891
0.05,0.15,45,0.015,15,252,26.6,-0.56,329,26.7,-0.12,2.65,-0.08940525117692606,-0.021122510322263574
0.05,0.15,45,0.015,20,251,23.5,-0.58,329,26.1,-0.07,2.77,-0.09216140884416846,-0.012049352498552168
0.05,0.15,45,0.02,10,264,29.2,-0.57,344,28.8,-0.32,2.25,-0.09320522022195742,-0.059381203781491844
0.05,0.15,45,0.02,15,263,26.6,-0.58,344,26.5,-0.22,2.62,-0.09379199607929128,-0.04013384898195687
0.05,0.15,45,0.02,20,262,23.7,-0.55,344,25.6,-0.18,2.77,-0.08949550577493477,-0.033169713107826654
0.05,0.15,45,0.03,10,290,27.9,-0.72,369,28.5,-0.4,2.23,-0.12178450858298934,-0.07737961763715914
0.05,0.15,45,0.03,15,289,26.0,-0.73,369,26.6,-0.22,2.6,-0.12424858222640248,-0.04288118191552235
0.05,0.15,45,0.03,20,288,23.3,-0.69,369,25.7,-0.15,2.76,-0.11748596074631137,-0.02951016182931912
0.07,0.08,35,0.015,10,246,40.7,-0.7,320,40.9,-0.61,1.2,-0.10916146324408389,-0.10992838919573486
0.07,0.08,35,0.015,15,245,40.4,-0.62,320,41.6,-0.61,1.18,-0.09649287412815825,-0.10824308272712002
0.07,0.08,35,0.015,20,245,39.2,-0.63,320,41.6,-0.58,1.19,-0.09881346187901181,-0.10328401848614863
0.07,0.08,35,0.02,10,257,40.5,-0.79,335,40.3,-0.72,1.19,-0.1267322173006083,-0.13173367924616358
0.07,0.08,35,0.02,15,256,39.8,-0.76,335,40.9,-0.71,1.17,-0.12135524515518026,-0.13008653560743763
0.07,0.08,35,0.02,20,256,38.7,-0.74,335,40.9,-0.68,1.19,-0.1190734578109301,-0.12523976662466396
0.07,0.08,35,0.03,10,282,40.1,-0.89,361,39.6,-0.84,1.18,-0.14875134467626752,-0.16022612139879486
0.07,0.08,35,0.03,15,280,39.6,-0.84,361,40.7,-0.76,1.17,-0.14052432961061,-0.14499364847063032
0.07,0.08,35,0.03,20,280,38.6,-0.83,361,40.7,-0.74,1.18,-0.1383425235991981,-0.14032467805058768
0.07,0.08,40,0.015,10,246,40.7,-0.7,320,40.9,-0.61,1.2,-0.10916146324408389,-0.10992838919573486
0.07,0.08,40,0.015,15,245,40.4,-0.62,320,41.6,-0.61,1.18,-0.09649287412815825,-0.10824308272712002
0.07,0.08,40,0.015,20,245,39.2,-0.63,320,41.6,-0.58,1.19,-0.09881346187901181,-0.10328401848614863
0.07,0.08,40,0.02,10,257,40.5,-0.79,335,40.3,-0.72,1.19,-0.1267322173006083,-0.13173367924616358
0.07,0.08,40,0.02,15,256,39.8,-0.76,335,40.9,-0.71,1.17,-0.12135524515518026,-0.13008653560743763
0.07,0.08,40,0.02,20,256,38.7,-0.74,335,40.9,-0.68,1.19,-0.1190734578109301,-0.12523976662466396
0.07,0.08,40,0.03,10,282,40.1,-0.89,361,39.6,-0.84,1.18,-0.14875134467626752,-0.16022612139879486
0.07,0.08,40,0.03,15,280,39.6,-0.84,361,40.7,-0.76,1.17,-0.14052432961061,-0.14499364847063032
0.07,0.08,40,0.03,20,280,38.6,-0.83,361,40.7,-0.74,1.18,-0.1383425235991981,-0.14032467805058768
0.07,0.08,45,0.015,10,246,40.7,-0.7,320,40.9,-0.61,1.2,-0.10916146324408389,-0.10992838919573486
0.07,0.08,45,0.015,15,245,40.4,-0.62,320,41.6,-0.61,1.18,-0.09649287412815825,-0.10824308272712002
